Arcade Station|39 Charts|_H
Fianl Audition Episode 2-2|N. America : 15 msgoon 3|https://youtu.be/VeJQ_-hLA9w?t=240

또다른 진심 (Another Truth)|S. America : 02 BuenosAires 1<br>Hard Mission Edit|https://youtu.be/cz_uUpvfWb4
그대에게 (For You)|S. America : 02 BuenosAires 17-2<br>Hard Mission Edit|https://youtu.be/cz_uUpvfWb4?t=115
Com' Back|S. America : 02 BuenosAires 17-3<br>Hard Mission Edit|https://youtu.be/cz_uUpvfWb4?t=245

친구여 (My Friend)|S. America : 03 Santiago 1|https://youtu.be/uleexU5BEsI
사자후 (Sajahu)|S. America : 03 Santiago 2|https://youtu.be/uleexU5BEsI?t=115
Storm|S. America : 03 Santiago 3|https://youtu.be/uleexU5BEsI?t=231

Phantom|S. America : 05 LaPaz 3|https://youtu.be/CuHrJjHid3Q?t=233

발자국 (Footprints)|S. America : 06 Quito 1|https://youtu.be/mSqU5j4mlcw
자유로와 (Free!)|S. America : 06 Quito 2|https://youtu.be/mSqU5j4mlcw?t=127
현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|S. America : 06 Quito 3|https://youtu.be/mSqU5j4mlcw?t=248

HOT 뜨거 (HOT)|S. America : 07 Caracas 2|https://youtu.be/6lotXQHg_X0?t=131
소방관 아저씨 (Mr. Fire Fighter)|S. America : 07 Caracas 3|https://youtu.be/6lotXQHg_X0?t=252

나를 돌아봐 (Come Back To Me)|S. America : 08 Montevideo 1|https://youtu.be/rAquQOuXUy0
돌아와 (Come To Me)|S. America : 08 Montevideo 2|https://youtu.be/rAquQOuXUy0?t=120
Com' Back|S. America : 08 Montevideo 3|https://youtu.be/rAquQOuXUy0?t=233

Enter The Dragon|S. America : 09 Bogota 1|https://youtu.be/W0k7mKqqa-Q
Gun Rock|S. America : 09 Bogota 3|https://youtu.be/W0k7mKqqa-Q?t=234

그녀는 피자를 좋아해 (She Likes Pizza)|S. America : 10 Valencia 1|https://youtu.be/f81TqEqzheI
Will O The Wisp|S. America : 10 Valencia 2<br>Includes the last wild part of division mode.|https://youtu.be/f81TqEqzheI?t=113
Mr. Larpus|S. America : 10 Valencia 3|https://youtu.be/f81TqEqzheI?t=224

Loner|Europe-07 Athens-1|https://www.youtube.com/watch?v=4rADg-NJnpc&ab_channel=s34nVideos
Lazenca Save Us|Europe-07 Athens-2|https://www.youtube.com/watch?v=QOPqsqgfebc&ab_channel=s34nVideos



중화반점|12-1|
Hold The Line|12-2|
사랑가 2006|16-1|
연가|16-2|
Conga|16-3|
Phantom|19-3|
Essa Maneira|20-2|
Power Of Dream|20-3|
경고|28-1|
Lazenca Save Us|28-2|
One Love|36-1|
영원한 사랑|36-2|
내게 남은 사랑을 다 줄게|36-3|
Up Up|40-1|
Shake It Up|40-3<br>Another Crazy Mission Edit|
Wi.Ex.Doc.Va Remix|43-2|
태양의 나라|47-1|
증오|47-3|
우리는|51-1|
불놀이야|51-3|
오빠는 풍각쟁이|52-1|
오빠는 풍각쟁이|52-2|
오빠는 풍각쟁이|52-3|
Moonlight|54-1|
Beethoven Virus|54-3|
Come To Me|56-1|
또다른 진심|56-2|
Join The Party|56-3|
J Bong|59-1|
Hi Bi|59-2|
Vook|59-3|
Extravaganza|60-1<br>Another Nightmare Mission Edit|
Witch Doctor|60-2<br>Another Nightmare Mission Edit|
Final Audtition Episode 1|60-3<br>Another Nightmare Mission Edit|
Love Is A Danger Zone|63-1|
Love Is A Danger Zone pt.2|63-2|
Love Is A Danger Zone pt.2 DnG Ver.|63-3|
Final Audition Episode 2-2|64-2|
Dignity|64-3<br>Income Nightmare Mission Edit|
